Literal Sense,Human1,Human2,FTB,MM2020,RTV,PTB
"From the day you were born, you've been [invincible]","From the day you were born, you've been like a well-seasoned superhero.","From the day you were born, you've been like Superman.","From the day you were born, you've been like a superhero","From the day you were born, you've been like a son to me","From the day you were born, you've been like a ------","From the day you were born, you've been like a son"
"For centuries, the Tyrant has made life [miserable]","For centuries, the Tyrant has made life like an impatient storm reaching to be a hurricane.","For centuries, the Tyrant has made life like a dreary prison.","For centuries, the Tyrant has made life like a living hell","For centuries, the Tyrant has made life like a prison in this country","For centuries, the tyrant has made life like a i hate","For centuries, the Tyrant has made life like a prison"
You’ve discovered that your body is [completely indestructible],You’ve discovered that your body is like fortified steel.,You’ve discovered that your body is like bulletproof steel.,You’ve discovered that your body is completely like a mechanical skeleton,You’ve discovered that your body is completely like a virus,You’ve discovered that your body is completely like a mountain be high valley,You’ve discovered that your body is completely like a rock
Seemingly honorable it would be easy to mistake you as [chivalrous],Seemingly honorable it would be easy to mistake you to be like a valiant knight.,Seemingly honorable it would be easy to mistake you as a knight in shining armor.,Seemingly honorable it would be easy to mistake you as like a knight,Seemingly honorable it would be easy to mistake you as like a hero,Seemingly honorable it would be easy to mistake you as like a mountain be high valley,Seemsingly honorable it would be easy to mistake you as like a chivalrous friend
"A few weeks later, a letter arrives, explaining that you are [unique]","A few weeks later, a letter arrives, explaining that you are like a daisy in a field of sunflowers.","A few weeks later, a letter arrives explaining that you are like a diamond in the rough.","A few weeks later, a letter arrives, explaining that you are like a different person","A few weeks later, a letter arrives, explaining that you are like a god to them","A few weeks later, a letter arrives, explaining that you are like a every snowflake","A few weeks later, a letter arrives, explaining that you are like a child to your father"
"After taking a pill, you suddenly realize that it all was [intentional]","After taking a pill, you suddenly realize that it all was like a refined battle plan.","After taking a pill, you suddenly realize that it all was like predestination.","After taking a pill, you suddenly realize that it all was like a conscious act","After taking a pill, you suddenly realize that it all was like a dream","After taking a pill, you suddenly realize that it all was like a wood furniture","After taking a pill, you suddenly realize that it all was like a dream"
"Unfortunately, their ideas about your past life are [hilariously inaccurate]","Unfortunately, their ideas about your past life are like drunken bat swings at a dart board.","Unfortunately, their ideas about your past life are like unfounded teenage rumors.","Unfortunately, their ideas about your past life are hilariously like a reverse timeline","Unfortunately, their ideas about your past life are hilariously like a child's","Unfortunately, their ideas about your past life are hilariously like a antique map","Unfortunately, their ideas about your past life are hilariously like a real person"
A rather mundane day changes when you unearth something [quite interesting],A rather mundane day changes when you unearth something like a ghost's treasure.,A rather mundane day changes when you unearth something like an enticing secret.,A rather mundane day changes when you unearth something quite like a treasure,A rather mundane day changes when you unearth something quite like a treasure,A rather mundane day changes when you unearth something quite like a genetics,A rather mundane day changes when you unearth something quite like a secret treasure
"But times are hard, and silver bullets are [expensive]","But times are hard, and silver bullets are like polished diamonds these days.","But times are hard, and silver bullets are like priceless rubies.","But times are hard, and silver bullets are like a luxury item","But times are hard, and silver bullets are like a good deal","But times are hard, and silver bullets are like a diamond","But times are hard, and silver bullets are like a bullet"
"Whenever the sun goes away, he stays up there keeping the magic [alive]","Whenever the sun goes away, he stays up there keeping the magic like a sacred burning flame.","Whenever the sun goes away, he stays up there keeping the magic burning like a hearth.","Whenever the sun goes away, he stays up there keeping the magic like a flame","Whenever the sun goes away, he stays up there keeping the magic like a lighthouse","Whenever the sun goes away, he stays up there keeping the magic like a flower","Whenever the sun goes away, he stays up there keeping the magic like a lighthouse, forever"
The majority of law enforcement has become [irrelevant],The majority of law enforcement has become like a phonograph at a smartphone convention.,The majority of law enforcement has become like old news.,The majority of law enforcement has become like a footnote in history,The majority of law enforcement has become like a bunch of cult members,The majority of law enforcement has become like a hippie,The majority of law enforcement has become like a mafia.The majority are irrelevant
Your guardian angel is just a little too [enthusiastic],Your guardian angel is just a little too much like a kid on Christmas morning.,Your guardian angel is just a little too much like a nerd at a comic convention.,Your guardian angel is just a little too like a kid on Christmas morning,Your guardian angel is just a little too like a fairy tale villain,Your guardian angel is just a little too like a genetics,Your guardian angel is just a little too like a little angel
"The sun is nowhere to be found, and the streets are [eerily quiet]","The sun is nowhere to be found, and the streets are like a vacant, air-choked library.","The sun is nowhere to be found, and the streets are like a ghost town.","The sun is nowhere to be found, and the streets are eerily like a graveyard","The sun is nowhere to be found, and the streets are eerily like a ghost town","The sun is nowhere to be found, and the streets are eerily like a i hate","The sun is nowhere to be found, and the streets are eerily like a ghost town"
After a few weeks he’s starting to feel a [little lonely],After a few weeks he’s starting to feel a tiger in the wild.,After a few weeks he’s starting to feel like an outcast.,After a few weeks he’s starting to feel a little like a lonely man,After a few weeks he’s starting to feel a little like a real person,After a few weeks he’s starting to feel a little like a go to movie alone,After a few weeks he’s starting to feel a little like a little kid
You decline but the man is [persistent],You decline but the man is like a buzzing killer bee.,You decline but the man is like a cocky salesman.,You decline but the man is like a persistent friend,You decline but the man is like a brother to you,You decline but the man is like a this group,You decline but the man is like a...
Last night you learned from your wife that lucid dreams are [very rare],Last night you learned from your wife that lucid dreams are like sunny days in London.,Last night you learned from your wife that lucid dreams are like hen's teeth.,Last night you learned from your wife that lucid dreams are like a unicorn's wet dreams,Last night you learned from your wife that lucid dreams are like a game of chess,Last night you learned from your wife that lucid dreams are like a dinosaur bone,Last night you learned from your wife that lucid dreams are like a nightmare
"As you approach him, his eyes begin to shed tears that appear [luminescent]","As you approach him, his eyes begin to shed tears that appear like trembling stars.","As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars.","As you approach him, his eyes begin to shed tears that appear like a thousand tiny flames","As you approach him, his eyes begin to shed tears that appear like a waterfall","As you approach him, his eyes begin to shed tears that appear like a buss pass","As you approach him, his eyes begin to shed tears that appear like a waterfall of light"
Milton scrunched his eyes and moodily turned back to his computer [helpless],Milton scrunched his eyes and moodily turned back to his computer like a man in a sailless boat without oars.,Milton scrunched his eyes and moodily turned back to his computer like a damsel in distress.,Milton scrunched his eyes and moodily turned back to his computer like a child caught in headlights,Milton scrunched his eyes and moodily turned back to his computer like a disappointed father,Milton scrunched his eyes and moodily turned back to his computer like a human baby,Milton scrunched his eyes and moodily turned back to his computer like a robot
The news hit me [hard],The news hit me like a ton of bricks.,The news hit me like a Mack truck.,The news hit me like a ton of bricks,The news hit me like a ton of bricks,The news hit me like a stone,The news hit me like a tonkitty
It makes Hunger Games look [silly],It makes Hunger Games look like a Play-Doh commercial.,It makes the Hunger Games look like mere child's play.,It makes Hunger Games look like a kid's game,It makes Hunger Games look like a picnic,It makes hunger games look like a some person,It makes Hunger Games look like a movie
The bliss has reached fever pitch as it engulfs me [warm],The bliss has reached fever pitch as it engulfs me like afternoon sun's rays.,The bliss has reached fever pitch as it enulfs me like a steaming shower.,The bliss has reached fever pitch as it engulfs me like a blanket,The bliss has reached fever pitch as it engulfs me like a tidal wave,The bliss has reached fever pitch as it engulfs me like a sunny day,The bliss has reached fever pitch as it engulfs me like a warm tingling sensation
"Streaks of electricity cackled through the air, swirling around and around [dangerous]","Streaks of electricity cackled through the air, swirling around and around like a tango with Death itself.","Streaks of electricity cackled through the air, swirling around and around like Lovecraftian tentacles.","Streaks of electricity cackled through the air, swirling around and around like a tornado","Streaks of electricity cackled through the air, swirling around and around like a tornado","Streaks of electricity cackled through the air, swirling around and around like a rock climb","Streaks of electricity cackled through the air, swirling around and around like a tornado"
Off she went [destructive],Off she went like a ballistic missile.,Off she went like a wreckingball.,Off she went like a lightning bolt,Off she went like a shot,Off she went like a weapon,Off she went like a shot
You just started staring off into space and smiling [dangerously],You just started staring off into space and smiling like a clown shouldering an axe.,You just started staring off into space and smiling like Cruella De Vil.,You just started staring off into space and smiling like a lunatic,You just started staring off into space and smiling like a fool,You just started staring off into space and smiling like a buss pass,You just started staring off into space and smiling like a maniac
Clare felt each stirke [painful],Clare felt each stirke like it were the plunge of a poison-soaked blade.,Clare felt each stirke like a branding iron.,Clare felt each stirke like a punch to the gut,Clare felt each stirke like a knife through her heart,Clare felt each stirke like a love,Clare felt each stirke like a knife
"Having a thin figure, he looked [unpleasant]","Having a thin figure, he looked like a dry, overgrown blade of grass.","Having a thin figure, he looked like a couch without cushions.","Having a thin figure, he looked like a walking corpse","Having a thin figure, he looked like a child","Having a thin figure, he looked like a pain","Having a thin figure, he looked like a man"
The wind stampeded through me [fast],The wind stampeded through me like a desperate herd of wildebeest.,The wind stampeded through me like a herd of wild horses.,The wind stampeded through me like a stampede,The wind stampeded through me like a stampede,The wind stampeded through me like a car,The wind stampeded through me like a siren
I start to prowl across the room [warily],I start to prowl across the room like a tightrope walker on dental floss.,I start to prowl across the room like a nervous criminal.,I start to prowl across the room like a cat stalking its prey,I start to prowl across the room like a lion,I start to prowl across the room like a i hate,I start to prowl across the room like a cat
Pain shoots out [loud],Pain shoots out like a spiraling firecracker.,Pain shoots out like an electric guitar getting tuned.,Pain shoots out like a bullet,Pain shoots out like a bullet,Pain shoots out like a voice,Pain shoots out like a knife
"At that point, it could spread [infectiously]","At that point, it could spread like wild fire.","At that point, it could spread like Herpes at band camp.","At that point, it could spread like a virus","At that point, it could spread like a disease","At that point, it could spread like a genetics","At that point, it could spread like a virus"
The words cut through the air [crisply],The words cut through the air like a hot iron sharpening skirt pleats.,The words cut through the air like a Honeycrisp apple.,The words cut through the air like a knife through butter,The words cut through the air like a knife,The words cut through the air like a genetics,The words cut through the air like a knife
The library grew back [prettily],The library grew back like a persistent garden.,The library grew back like ivy on a castle.,The library grew back like a rose in the wind,The library grew back like a tree,The library grew back like a it,The library grew back like a rosebush
"The door seemed impenetrable, [dangerous]","The door seemed impenetrable, like a murderer's heart.","The door seemed impenetrable, like a ring of assassins.","The door seemed impenetrable, like a trap","The door seemed impenetrable, like a wall","The door seemed impenetrable, like a rock climb","The door seemed impenetrable, like a… wall…"
Adrenaline shot through him [powerful],Adrenaline shot through him like a lightning bolt.,Adrenaline shot through him like a hypodermic injection.,Adrenaline shot through him like a bolt of lightning,Adrenaline shot through him like a bullet,Adrenaline shot through him like a natural energy,Adrenaline shot through him like a bullet
"Pale, yet bright it's flesh glowed [pleasingly]","Pale, yet bright it's flesh glowed like a gentle ember.","Pale yet bright, its flesh glowed like a warm sunrise.","Pale, yet bright it's flesh glowed like a warm fire","Pale, yet bright it's flesh glowed like a diamond","Pale, yet bright it's flesh glowed like a life","Pale, yet bright it's flesh glowed like a jewel"
The old van in the field is [almost comfortable],The old van in the field is like baby swaddled a little too tightly in a blanket.,The old van in the field is like a stiff sweatshirt.,The old van in the field is almost like a hotel room,The old van in the field is almost like a museum,The old van in the field is almost like a sofa,The old van in the field is almost like a shrine
Hitler skittered off [slow],Hitler skittered off like an enthusiastic sloth.,Hitler skittered off like a dog with its tail between its legs.,Hitler skittered off like a worm,Hitler skittered off like a mouse,Hitler skittered off like a tortises,Hitler skittered off like a...thing....
Panic is sweeping through the streets [contagiously],Panic is sweeping through the streets like an ambitious virus.,Panic is sweeping through the streets like the virus itself.,Panic is sweeping through the streets like a plague,Panic is sweeping through the streets like a wave,Panic is sweeping through the streets like a life,Panic is sweeping through the streets like a plague
Thrown away [dirtily],Thrown away like sweat-soaked gym socks.,Thrown away like a used paper plate.,Thrown away like a used condom,Thrown away like a piece of paper,Thrown away like a mountain be high valley,Thrown away like a dirtily
I wander [hopelessly],I wander like an unrequited lover.,I wander like a loser.,I wander like a lost puppy,I wander like a ghost,I wander like a genetics,I wander like a hopelessly
Keaton was lying face down on the ground [lamely],Keaton was lying face down on the ground like a snapped twig.,Keaton was lying face down on the ground like a maimed animal.,Keaton was lying face down on the ground like a limp corpse,Keaton was lying face down on the ground like a sack of potatoes,Keaton was lying face down on the ground like a life,Keaton was lying face down on the ground like a zombie
The sound hit Frank [loud enough to make your ear hurt],The sound hit Frank like the carnal screams of a rock concert moshpit.,The sound hit Frank like a discordant cacaphony.,The sound hit Frank like a slap,The sound hit Frank like a freight train,The sound hit frank like a genetics,The sound hit Frank like a freight train
Her neck was [beautiful],Her neck was like the smooth curve of a pearl.,Her neck was like a vampire's dream.,Her neck was like a halo,Her neck was like a crescent moon,Her neck was like a sunset,Her neck was like a......
They had shut him in a basement that looked [dangerously claustrophobic],They had shut him in a basement that looked like an overstuffed sardine can.,They had shut him in a basement that looked like a freight elevator.,They had shut him in a basement that looked dangerously like a cellar,They had shut him in a basement that looked dangerously like a bomb shelter,They had shut him in a basement that looked dangerously like a attic bedroom,They had shut him in a basement that looked dangerously like a mine
The images flashed in the brilliance that covered him [warm],The images flashed in the brilliance that covered him like a plush blanket,The images flashed in the brilliance that covered him like the beating sun.,The images flashed in the brilliance that covered him like a cloak,The images flashed in the brilliance that covered him like a blanket,The images flashed in the brilliance that covered him like a sunny day,The images flashed in the brilliance that covered him like a blanket
"It was red, [beautiful]","It was red, like a forbidden rubied rose.","It was red, like a blooming rose.","It was red, like a sunset","It was red, like a bloodhound","It was red, like a sunset","It was red, like a..."
The sound of his own blood sounds [ear - splitting],The sound of his own blood sounds like scraping metal against a chalkboard.,The sound of his own blood sounds like nails on a chalkboard.,The sound of his own blood sounds like a scream to him,The sound of his own blood sounds like a dying dog,The sound of his own blood sounds like a life,The sound of his own blood sounds like a scream
"Pink orange yellow green black white, I felt numb and slack-jawed, gaping [funnily]","Pink orange yellow green black white, I felt numb and slack-jawed, gaping like a lopsided pancake.","Pink orange yellow green black white, I felt numb and slack-jawed, gaping like a boy in the girl's locker room.","Pink orange yellow green black white, I felt numb and slack-jawed, gaping like a cartoon character","Pink orange yellow green black black white, I felt numb and slack-jawed, gaping like a fish out of water","Pink orange yellow green black white, i felt numb and slack-jawed, gaping like a genetics","Pink orange yellow green black black white, I felt numb and slack-jawed, gaping like a fool"
"In the dead of summer, in Ohio, the clothes felt [hot and humid]","In the dead of summer, in Ohio, the clothes felt like melting rubber.","In the dead of summer, in Ohio, the clothes felt like wet wool.","In the dead of summer, in Ohio, the clothes felt like a desert","In the dead of summer, in Ohio, the clothes felt like a blessing","In the dead of summer, in ohio, the clothes felt like a genetics","In the dead of summer, in Ohio, the clothes felt like a jacket, the air felt hot and humid"
I live [wealthily],I live like a CEO with diamond-studded sneakers.,I live like Daddy Warbucks.,I live like a king,I live like a king,I live like a this group,I live like a...
"You visit the tower at night to get a new perspective, expecting nothing [too exciting]","You visit the tower at night to get a new perspective, expecting nothing like the glory of the Northen Lights.","You visit the tower at night to get a new perspective, expecting nothing like a real adventure.","You visit the tower at night to get a new perspective, expecting nothing too like a game","You visit the tower at night to get a new perspective, expecting nothing too like a movie","You visit the tower at night to get a new perspective, expecting nothing too like a genetics","You visit the tower at night to get a new perspective, expecting nothing too like a real skyscraper"
"A character knows that their universe is fictional, but everyone thinks they are [crazy]","A character knows that their universe is fictional, but everyone thinks they are like a clown in a courthouse.","A character knows that their universe is fictional, but everyone thinks they are like a raving Cassandra.","A character knows that their universe is fictional, but everyone thinks they are like a madman","A character knows that their universe is fictional, but everyone thinks they are like a fictional character","A character knows that their universe is fictional, but everyone thinks they are like a buss pass","A character knows that their universe is fictional, but everyone thinks they are like a cartoon character"
"They all agree the books are good reads, but they are [too unrealistic]","They all agree the books are good reads, but they are like flamingoes in Antartica.","They all agree the books are good reads, but they are like pseudo science fiction.","They all agree the books are good reads, but they are too like a movie","They all agree the books are good reads, but they are too like a movie","They all agree the books are good reads, but they are too like a life","They all agree the books are good reads, but they are too like a movie"
But he's much stronger than you and his ideas are [very different],But he's much stronger than you and his ideas are like a jet black against your neon green.,But he's much stronger than you and his ideas are like a train on another track.,But he's much stronger than you and his ideas are like a different language,But he's much stronger than you and his ideas are like a thousand years old,But he's much stronger than you and his ideas are like a buss pass,But he's much stronger than you and his ideas are like a rock
"Honestly, we probably should have coordinated [with each other]","Honestly, we probably should have coordinated like identical twins with matching outfits.","Honestly, we probably should have coordinated like better friends.","Honestly, we probably should have coordinated with each other like a team","Honestly, we probably should have coordinated with each other like a proper couple","Honestly, we probably should have coordinated with each other like a buss pass","Honestly, we probably should have coordinated with each other like a team"
You wake one morning to find your entire family lying [unconscious],You wake one morning to find your entire family lying like gray slabs of cement.,You wake one morning to find your entire family lying like dummies.,You wake one morning to find your entire family lying like a pile of corpses,You wake one morning to find your entire family lying like a corpse on the floor,You wake one morning to find your entire family lying like a this aborigine,You wake one morning to find your entire family lying like a blanket
"In most horror settings, silence is [key]","In most horror settings, silence is like an unknown savior.","In most horror settings, silence is like a central ingrediant.","In most horror settings, silence is like a safeguard against violence","In most horror settings, silence is like a prison","In most horror settings, silence is like a rollercoasters","In most horror settings, silence is like a weapon"
"But the next morning, it sounds [terrible]","But the next morning, it sounds like a cat couching up a furball.","But the next morning, it sounds like a sick cat.","But the next morning, it sounds like a terrible idea","But the next morning, it sounds like a different story","But the next morning, it sounds like a war","But the next morning, it sounds like a great plan"
"Drinking it will either kill you, or grant you strength and abilities [unimaginable]","Drinking it will either kill you, or grant you strength and abilities like an everflowing fountain.","Drinking it will either kill you, or grant you strength and abilities like a complete alter ago.","Drinking it will either kill you, or grant you strength and abilities like a superpower","Drinking it will either kill you, or grant you strength and abilities like a super-human","Drinking it will either kill you, or grant you strength and abilities like a ceiling","Drinking it will either kill you, or grant you strength and abilities like a vampire"
Constructing the flat pack TV cabinet was meant to be [easy],Constructing the flat pack TV cabinet was meant to be like putting on velcro shoes.,Constructing the flat pack TV cabinet was meant to be like turning on a light.,Constructing the flat pack TV cabinet was meant to be like a cake walk,Constructing the flat pack TV cabinet was meant to be like a house,Constructing the flat pack tv cabinet was meant to be like a learn to change car tire,Constructing the flat pack TV cabinet was meant to be like a Lego set
"Growing up, people always thought you were [strange]","Growing up, people always thought you were like an okapi in a herd of donkeys.","Growing up, people always thought you were like a social pariah.","Growing up, people always thought you were like a weirdo","Growing up, people always thought you were like a weirdo","Growing up, people always thought you were like a person","Growing up, people always thought you were like a ..."
"It seems like he's just really charismatic, until his demands become gradually [more unhinged]","It seems like he's just really charismatic, until his demands become gradually more like a ravenous furnace flame.","It seems like he's just really charismatic, until his demands become gradually like a megolamaniac's.","It seems like he's just really charismatic, until his demands become gradually more like a lunatic","It seems like he's just really charismatic, until his demands become gradually more like a threat","It seems like he's just really charismatic, until his demands become gradually more like a read","It seems like he's just really charismatic, until his demands become gradually more like cult, becoming more unhinged"
"A bright light shines above you, but the rest of the room is [dark]","A bright light shines above you, but the rest of the room is like a moonless night.","A bright light shines above you, but the rest of the room is a black box.","A bright light shines above you, but the rest of the room is like a pitchblack tunnel","A bright light shines above you, but the rest of the room is like a tunnel","A bright light shines down on you, but the rest of the room is like a closet","A bright light shines down on you, but the rest of the room is like a mirror"
We see billionaires with full meters and homeless people [completely empty],We see billionaires with full meters and homeless people like hollowed shells.,We see billionaires with full meters and homeless people like morning after the funeral,We see billionaires with full meters and homeless people like a lot on the streets,We see billionaires with full meters and homeless people like a lot,We see billionaires with full meters and homeless people like a read,We see billionaires with full meters and homeless people like a fish completely empty
One day you decide to test it out and what you experience is [unbelievable],One day you decide to test it out and what you experience is like a magic trick.,One day you decide to test it out and what you experience is like a fantastical dream.,One day you decide to test it out and what you experience is like a miracle,One day you decide to test it out and what you experience is like a dream,One day you decide to test it out and what you experience is like a rollercoasters,One day you decide to test it out and what you experience is like a dream come true
The things that wait in between the two are [unpleasant],The things that wait in between the two are like the mud and leaves clogging the gutter.,The things that wait in between the two are like Scylla and Charybdas.,The things that wait in between the two are like a nightmare,The things that wait in between the two are like a prison,The things that wait in between the two are like a pain,The things that wait in between the two are like a nightmare
Friends' bars are almost full while strangers' are [half-filled],Friends' bars are almost full while strangers' are like dwindling smartphone batteries.,Friends' bars are almost full while strangers' are like a pessimist's glass: half-empty.,Friends' bars are almost full while strangers' are like a half empty cup,Friends' bars are almost full while strangers' are like a dump,Friends' bars are almost full while strangers' are like a buss pass,Friends' bars are almost full while strangers' are like a war zone
They just killed an investigation journalist that was looking [too close],They just killed an investigation journalist that was looking a curious toddler pressed against a store window.,They just killed an investigation journalist that was looking like an eventual threat.,They just killed an investigation journalist that was looking like a fool,They just killed an investigation journalist that was looking like a good read,They just killed an investigation journalist that was looking like a study in group,They just killed an investigation journalist that was looking like a mole for them
To the superhero they are keeping the people and the world [safe],To the superhero they are keeping the people and the world like well-watched children.,"To the superhero, they are keeping the people and the world like a precious treasure.",To the superhero they are keeping the people and the world like a safe haven,To the superhero they are keeping the people and the world like a puppet,To the superhero they are keeping the people and the world like a home,To the superhero they are keeping the people and the world like a promise
"After finding a strange mask on the beach, you become suddenly more [rich and famous]","After finding a strange mask on the beach, you become suddenly more like a sun-kissed popstar.","After finding a strange mask on the beach, you become suddenly more like the celebrities you envied.","After finding a strange mask on the beach, you become suddenly more like a billionaire","After finding a strange mask on the beach, you become suddenly more like a monster","After finding a strange mask on the beach, you become suddenly more like a peter","After finding a strange mask on the beach, you become suddenly more like a celebrity than ever"
"When times are good, your dreams are [terrible]","When times are good, your dreams are like twisted shadows.","When times are good, your dreams are like a manifestation of your worst anxieties.","When times are good, your dreams are like a bad acid trip","When times are good, your dreams are like a dream","When times are good, your dreams are like a war","When times are good, your dreams are like a drug"
Except no one knows because they are [microscopic],Except no one knows because they are like gnats.,Except no one knows because they are bacteria invisible to the naked eye.,Except no one knows because they are like a tiny piece of God,Except no one knows because they are like a secret society,Except no one knows because they are like a life,Except no one knows because they are like a ghost
"But this other world doesn't want to be known, it wants to remain [hidden]","But this other world doesn't want to be known, it wants to remain like a creature amidst the untouchable depths of the sea.","But this other world doesn't want to be known, it wants to remain like an underground cult.","But this other world doesn't want to be known, it wants to remain like a secret","But this other world doesn't want to be known, it wants to remain like a secret","But this other world doesn't want to be known, it wants to remain like a life","But this other world doesn't want to be known, it wants to remain like a secret"
You are a chef who prepares onions in a world where crying is [instantly lethal],You are a chef who prepares onions in a world where crying is like a bullet through the heart.,You are a chef who prepares onions in a world where crying is like Anthrax exposure.,You are a chef who prepares onions in a world where crying is instantly like a gunshot,You are a chef who prepares onions in a world where crying is instantly like a drug,You are a chef who prepares onions in a world where crying is instantly like a gunfire,You are a chef who prepares onions in a world where crying is instantly like a drug
You are the final boss of a videogame and are [unbeaten],You are the final boss of a videogame and are like the king of a mighty empire.,You are the final boss of a videogame and are like a reining champion.,You are the final boss of a videogame and are like a perfect record,You are the final boss of a videogame and are like a God,You are the final boss of a videogame and are like a rollercoasters,You are the final boss of a videogame and are like a superhero
"Navigating fantasy ""Japan"" has proven very [difficult]","Navigating fantasy ""Japan"" has proven very [difficult]","Navigating fantasy ""Japan"" has proven like a maze full of sudden combat.","Navigating fantasy ""Japan"" has proven like a difficult task",Navigating fantasy Japan has proven like a nightmare,"Navigating fantasy ""japan"" has proven like a hit curve ball",Navigating fantasy Japan have proven like a ...
You are an oracle whose predictions have always come [true],You are an oracle whose predictions have always come like the rising sun.,You are an oracle whose predictions have always come like highly researched hypotheses.,You are an oracle whose predictions have always come like a prophecy,You are an oracle whose predictions have always come like a bolt from the blue,You are an oracle whose predictions have always come like a fact,You are an oracle whose predictions have always come like a man of action
"As they touch the ground, they are [forgotten]","As they touch the ground, they are like melting snowflakes.","As they touch the ground, they are lost childhood memories.","As they touch the ground, they are like a long forgotten friend","As they touch the ground, they are like a feather","As they touch the ground, they are like a dartboard","As they touch the ground, they are like a ...."
"They were visible to all, but [inscrutable]","They were visible to all, but like blurred watercolored lines.","They were visible to all, but like worn ancient tablets full of heiroglyphics.","They were visible to all, but like a veil","They were visible to all, but like a mirage","They were visible to all, but like a study in group","They were visible to all, but like a mirror"
